original_title,overview,genres,keywords,imdb_plot
Inside Deep Throat,"In 1972, a seemingly typical shoestring budget pornographic film was made in a Florida hotel, ""Deep Throat,"" starring Linda Lovelace. This film would surpass the wildest expectation of everyone involved to become one of the most successful independent films of all time. It caught the public imagination which met the spirit of the times, even as the self appointed guardians of public morality struggled to suppress it, and created, for a brief moment, a possible future where sexuality in film had a bold artistic potential. This film covers the story of the making of this controversial film, its stunning success, its hysterical opposition along with its dark side of mob influence and allegations of the on set mistreatment of the film's star. In short, the combined events would redefine the popular appeal of pornography, even as more cynical developments would lead it down other paths.",History Documentary,pornography 1970s sexual revolution ,"An examination of the infamous pornographic film Deep Throat (1972), covering aspects from the film's creation to its cultural impact."
Pauly Shore Is Dead,"Hollywood comedian/actor Pauly Shore loses everything: his house, nobody in Hollywood wants to represent him, he moves back home with his mom and is now parking cars at the Comedy Store. Then one night when he's up in his mom's loft, a dead famous comedian appears who tells Pauly to kill himself cause he'll go down as a comedic genius who died before his time. Pauly then fakes his own death, and the media goes crazy. Celebrities are talking about him on MTV and girls are fighting over him on Jerry Springer. It's everything that he wanted...his plan worked. A week or so later the LAPD is tipped off about his whereabouts and they break down the door of the seedy motel room that he's hiding out in and throw him in LA County's celebrity wing.",Comedy,,"Hollywood's Pauly Shore loses everything, fakes his own death, and gets caught."
Dot the I,"Young lovers in London are wrapped up in a love triangle that may not be exactly what it seems. Carmen, a beautiful Spanish woman with a tendency to lose her temper at the drop of a hat, is about to be married to Barnaby, a caring, wealthy, but slightly boring Englishman. While out with friends on her 'hen night' she encounters a stranger who suddenly sparks a passion that has been sleeping within her. As her wedding date approaches, she finds herself struggling to put this newcomer out of her mind, but his effect on her keeps growing stronger. What is it that he sees in her, and why does she feel like she's being pushed inevitably into his arms?",Comedy Drama Romance Thriller,"love triangle london, england ",Young lovers in London are wrapped up in a love triangle that may not be exactly what it seems.
Dragonworld,"Young John McGowan travels to Scotland to live at his grandfather's castle after he loses his parents in a traffic accident. At the wishing tree he conjures up a dragon friend, Yowler. They grow up together, and one day documentary film maker Bob Armstrong and his daughter Beth stumble upon Yowler. Hungry for fame (and money), Bob convinces John to ""rent"" Yowler to local unscrupulous businessman Lester McIntyre. John is convinced in part by the offer to have the outstanding taxes on the castle paid off, partly because of his growing interest in Beth. Yowler is miserable in the new theme park built for him, and when it becomes clear that McIntyre has tricked them in order to exploit the dragon, John and his new friends take action.",Adventure Fantasy,scotland castle dragon amusement park ,A young man must risk his life to save his fire-breathing friend from the unscrupulous owner of an amusement park.
Fallen Angel,"Otto Preminger's classic film noir offering captures the common postwar struggle to get ahead, and one man's balancing act between two women. Dana Andrews stars as a drifter named Eric Stanton, who, after landing in a small California town, falls in love with Stella (Linda Darnell), a diner waitress. She makes it clear that she'll have nothing to do with Eric unless he has some money, so he hatches a plan to marry June Mills (Alice Faye), a wealthy reclusive spinster who is in love with him. Unfortunately, right after the wedding, Stella turns up dead, and the blame is placed on Eric.",Crime Mystery Romance,roadhouse noir drifter ,"A slick con man arrives in a small town looking to make some money, but soon gets more than he bargained for."
The Cat and the Canary,"Rich old Cyrus West's relatives are waiting for him to die so they can inherit. But he stipulates that his will be read 20 years after his death. On the appointed day his expectant heirs arrive at his brooding mansion. The will is read and it turns out that Annabelle West, the only heir with his name left, inherits, if she is deemed sane. If she isn't, the money and some diamonds go to someone else, whose name is in a sealed envelope. Before he can reveal the identity of her successor to Annabelle, Mr. Crosby, the lawyer, disappears. The first in a series of mysterious events, some of which point to Annabelle in fact being unstable.",Drama Horror Comedy Thriller Mystery,haunted house based on play or musical last will and testament black and white old dark house silent film aristocrat expressionism ,Relatives of an eccentric millionaire gather in his spooky mansion on the 20th anniversary of his death for the reading of his will.
Amongst Friends,"Director Robert K. Weiss gives a good accounting of himself in his first feature-length effort Amongst Friends. The film is set in an affluent Long Island neighborhood, the home of boyhood chums Patrick McGaw, Steve Parlavecchio, and Joseph Lindsey. With too much time on their hands, the kids turn to crime for ""kicks"". Events snowball into a climactic life-or-death drug deal, which threatens to end in disaster when one of the boys capriciously pulls a double cross. Barely released in 1993, Amongst Friends will probably get more play in future years thanks to the presence in the cast of Oscar-winner Mira Sorvino.",Crime Drama Action,long island ,"Three bored Long Island buddies seek excitement on the streets, with perilous results."
The Diary of a Chambermaid,"Celestine, the chamber-maid, has a new job in the country, at the Lanlaires. She has decided to use her beauty to seduce a wealthy man, but Mr. Lanlaire is not a right choice: the house is firmly controlled by Madame Lanlaire, helped by the strange valet Joseph. Then she tries the neighbour, former officer Mauger. This seems to work. But soon the son of the Lanlaires comes back. He is young, attractive and does not share his mother's antirepublican opinions. So Celestine's beauty attracts Captain Mauger, young Georges Lanlaire, and Joseph. Three men, from three different social classes, with three different conceptions of life. Will Celestine be able to convince Georges of her sincerity?",Drama Romance,,A chambermaid plots to climb the social ladder by marrying a wealthy man.
Mávahlátur,"Post-war provincial Iceland: around 1950, Freyja, who'd been a plump teen, returns from America, a widow with a 20-inch waist, seven suitcases of dresses, and a list of who ever wronged or slighted her. She moves in with an aunt and socialist uncle: finding a new husband is high on her agenda, and she's mistrusted by Agga, a pre-teen who's our eyes and ears. The social order and Freyja are more complicated than they seem at first, and so may be her prospects. Class divisions, families ties, pride, the onset of puberty, and the power of Eros sliver the ice.",Drama Comedy,based on novel or book feminism post war life ,"Post-war provincial Iceland: around 1950, Freyja, who'd been a plump teen, returns from America, a widow with a 20-inch waist, seven suitcases of dresses, and a list of who ever wronged or slighted her. She moves in with an aunt and socialist uncle: finding a new husband is high ... Read all"
Stella Dallas,"Working-class Stella Martin marries high-end Stephen Dallas and soon they have a daughter named Laurel. But Stephen's incessant demands of Stella to become what she isn't leads to their eventual separation. Stephen later marries Helen Morrison (his prior fiancée), and Laurel becomes the focus of Stella's life and love. Nothing is too good for Laurel as far as Stella is concerned. Determined to give her all the advantages, she takes Laurel on a trip to an expensive resort where Laurel makes friends with rich kids. After an embarrassing incident, Stella realizes that her daughter would go farther in life without Stella as her mother. Her subsequent sacrifice is shattering.",Drama Romance,"boston, massachusetts sacrifice compassion class distinction ",A working-class woman is willing to do whatever it takes to give her daughter a socially promising future.
Finian's Rainbow,"An Irishman, Finian, and his daughter Sharon, arrive in Rainbow Valley, a Southern town of tobacco sharecroppers in the state of Missitucky. The town has its own resident dreamer, Woody, who thinks that he might be able to put the town on the map by crossing mint with tobacco so that it'll grow mentholated. Finian's came to town because he's stolen a leprechaun's crock of gold and plans to plant it in the ground. But trouble arrives in the form of Og the leprechaun, who has followed Finian and wants his gold. Meanwhile, the bigoted Senator Billboard Rawkins, in an effort to stop progress in his state in the form of a new dam and hydroelectric system, plans to take the remaining parcel of land needed to stop the project. But the government's geologists reveal the Senator that gold has been detected on the property! Rawkins and his men confront the sharecroppers to seize their land using as an excuse an obscure law making it a felony for blacks and whites to live together.",Music Romance Family Fantasy,gold deaf-mute fort knox musical wish based on play or musical leprechaun racism irishman father daughter relationship ,"An Irish immigrant and his daughter move into a town in the American South with a magical piece of gold that will change people's lives, including a struggling farmer and African American citizens threatened by a bigoted politician."
End of the Century: The Story of The Ramones,"Filmmaker Michael Gramaglia's years-in-the-making biography of the legendary punk band the Ramones entitled End of the Century traces nearly all the various and sundry peaks and valleys which the seminal rockers experienced over the course of its 20-plus year career before disbanding in 1995. Beginning with the band's first concert performances in the mid-'70s, Gramaglia explores the eccentric and highly volatile band members -- in all the various line-ups that were presented over the years -- as the Ramones slowly gained fame for their high energy and high-tempo style of music that would later influence generations of punk rockers around the world. Mixing archival interviews with new interviews of the various surviving bandmembers, as well as interviews with a number of the Ramones' contemporaries, End of the Century encapsulates the East Coast underground music atmosphere of the 1970s and '80s that the band inadvertently shocked into existence.",Documentary,rock 'n' roll ,The story of the punk rock band The Ramones.
Bring on the Night,"Bring On The Night is a 1985 documentary film, that focuses on the jazz-inspired project and band led by the British musician Sting during the early stages of his solo career. Some of the songs, whose recording sessions are featured in the film, appeared on his debut solo album The Dream of the Blue Turtles. Each musician in the band, through the course of the film is interviewed. [Tracklist:] 01 Bring On The Night 02 News Conference 03 If You Love Somebody Set Them Free 04 Low Life 05 Fortress Around Your Heart 06 Love Is The Seventh Wave 07 The Flintstones 08 Another Day 09 Shadows In The Rain 10 Consider Me Gone 11 Driven To Tears 12 The Big Risk 13 Opening Night 14 Shadows In The Rain 15 Fortress Around Your Heart 16 We Work The Black Seam 17 I Burn For You 18 Children's Crusade 19 Need Your Love So Bad 20 Roxanne 21 Russians 22 I Been Down So Long 23 If You Love Somebody Set Them Free 24 Demolition Man  25 Message In A Bottle",Music Documentary,,"Documents the preparation and rehearsals for Sting's first solo concert, as well as his supporting band's opinions on their leader and his controversial efforts."
This Land Is Mine,"In a Nazi-occupied French town, meek and mild-mannered teacher Albert Lory lives with his mother. Few people, including his students, have any respect for him and he literally shakes in his boots during an air raid. He is quite friendly with his fellow teacher, Louise Martin and her brother Paul who also happen to be neighbors. If truth be told, Albert is quite in love with Louise but she is in a relationship with George Lambert and he feels she is quite beyond his reach. Paul is a member of the resistance and is killed when Lambert informs the Nazis. Outraged at what he's done, Albert arrives at Lambert's office just as the informer commits suicide. Albert is charged with murder but the local Nazi commander, Major Erich von Keller, offers him a deal...",Drama War,suicide resistance self sacrifice mayor nazi bravery hand grenade teacher cigarette smoking informant air raid schoolteacher ,A mild-mannered school teacher in a Nazi-occupied town during WWII finds himself torn between collaboration and resistance.
Lady Killers,"National Lampoon's Gold Diggers is a black comedy about two losers in their twenties, Calvin Menhoffer (Will Friedle) and Leonard Smallwood (Chris Owen), who are out to get the good life without working for it. The two young men try to rob two 70-year-old sisters, Betty Mundt (Renee Taylor) and Doris Mundt (Louise Lasser). The two sisters beat the two young men up, and send them to jail. The ladies drop the charges, and invite the jailbirds to their Beverly Hills mansion. Cal gets an idea that they could marry the women for their money and live the good life. Hopefully, they will only live 6-months and at most one-year. It turns out that Betty and Doris are broke, and they have come up with a plan to marry the boys, kill them, and collect the life insurance money. After several unsuccessful murder attempts on each other, they join forces to rob Betty and Doris's rich uncle",Comedy,robbery sister marriage jail inheritance mansion theft marriage for money gold digger older woman younger man relationship beverly hills sex comedy national lampoon's elderly woman ,"A pair of losers marry two elderly sisters, thinking they'll inherit their fortune and Beverly Hills estate."
Waterloo Bridge,"On the eve of World War II, a British officer revisits Waterloo Bridge and recalls the young man he was at the beginning of World War I and the young ballerina he met just before he left for the front. Myra stayed with him past curfew and is thrown out of the corps de ballet. She survives on the streets of London, falling even lower after she hears her true love has been killed in action. But he wasn't killed. Those terrible years were nothing more than a bad dream is Myra's hope after Roy finds her and takes her to his family's country estate.",Drama Romance,suicide world war ii world war i bridge flashback based on play or musical british soldier air raid star crossed lovers lucky charm ballerina 1910s ,Myra and Roy meet and fall in love on Waterloo Bridge during an air raid. Their love will be one of the wars unspoken casualties.
"Move Over, Darling","Three years into their loving marriage, with two infant daughters at home in Los Angeles, Nicholas Arden and Ellen Wagstaff Arden are on a plane that goes down in the South Pacific. Although most passengers manage to survive the incident, Ellen presumably perishes when swept off her lifeboat, her body never recovered. Fast forward five years. Nicky, wanting to move on with his life, has Ellen declared legally dead. Part of that moving on includes getting remarried, this time to a young woman named Bianca Steele, who, for their honeymoon, he plans to take to the same Monterrey resort where he and Ellen spent their honeymoon. On that very same day, Ellen is dropped off in Los Angeles by the Navy, who rescued her from the South Pacific island where she was stranded for the past five years. She asks the Navy not to publicize her rescue nor notify Nicky as she wants to do so herself.",Comedy Romance,judge return island honeymoon love stranded ,"After being lost at sea for several years, a missing wife thought long dead returns just after her husband has remarried."
Life Is Sweet,"Just north of London live Wendy, Andy, and their twenty-something twins, Natalie and Nicola. Wendy clerks in a shop, leads aerobics at a primary school, jokes like a vaudevillian, agrees to waitress at a friend's new restaurant and dotes on Andy, a cook who forever puts off home remodeling projects, and with a drunken friend, buys a broken down lunch wagon. Natalie, with short neat hair and a snappy, droll manner, is a plumber; she has a holiday planned in America, but little else. Last is Nicola, odd man out: a snarl, big glasses, cigarette, mussed hair, jittery fingers, bulimic, jobless, and unhappy. How they interact and play out family conflict and love is the film's subject.",Comedy Drama,bulimia eccentric food working class class differences twins rebellious daughter eating disorder ,"A shop assistant, her cook husband, & their twin daughters ponder their lives over a few weeks in a working-class suburb north of London."
Blossoms in the Dust,"Edna marries Texan Sam Gladney, operator of a wheat mill. They have a son, who is killed when very young. Edna discovers by chance how the law treats children who are without parents and decides to do something about it. She opens a home for foundlings and orphans and begins to place children in good homes, despite the opposition of ""conservative"" citizens, who would condemn illegitimate children for being born out of wedlock. Eventually Edna leads a fight in the Texas legislature to remove the stigma of illegitimacy from birth records in that state, while continuing to be an advocate for homeless children.",Drama Romance,texas adoption biography orphan bigotry illegitimate child ,"After losing her young son, Edna Gladney opposes the unfair laws discriminating against children whose parents are unknown, and opens an orphanage for those children."
The Fearless Freaks,"Equal parts punk and psychedelia, the Flaming Lips emerged from Oklahoma City as one of the most bracing bands of the late 1980's. The Fearless Freaks documents their rise from Butthole Surfers-imitating noisemakers to grand poobahs of orchestral pop masterpieces. Filmmaker Bradley Beesely had the good fortune of living in the same neighborhood as lead Lip Wayne Coyne, who quickly enlisted his buddy to document his band's many concerts and assorted exploits. The early footage is a riot, with tragic hair styles on proud display as the boys attempt to cover up their lack of natural talent with sheer volume. During one show, they even have a friend bring a motorcycle on stage, which is then miked for sound and revved throughout the performance, clearing the club with toxic levels of carbon monoxide. Great punk rock stuff. Interspersed among the live bits are interviews with the band's family and friends, revealing the often tragic circumstances of their childhoods and early career.",Music Documentary,punk rock teenage boy music history childhood amateur film 1980s ,A documentary on the evolution of the Oklahoma band The Flaming Lips.
Star Wars: Episode III - Revenge of the Sith,"Years after the onset of the Clone Wars, the noble Jedi Knights lead a massive clone army into a galaxy-wide battle against the Separatists. When the sinister Sith unveil a thousand-year-old plot to rule the galaxy, the Republic crumbles and from its ashes rises the evil Galactic Empire. Jedi hero Anakin Skywalker is seduced by the dark side of the Force to become the Emperor's new apprentice – Darth Vader. The Jedi are decimated, as Obi-Wan Kenobi and Jedi Master Yoda are forced into hiding. The only hope for the galaxy are Anakin's own offspring – the twin children born in secrecy who will grow up to become heroes.",Science-Fiction Adventure Action,showdown death star vision cult figure hatred dream sequence expectant mother space opera chancel galactic war ,"Three years into the Clone Wars, the Jedi rescue Palpatine from Count Dooku. As Obi-Wan pursues a new threat, Anakin acts as a double agent between the Jedi Council and Palpatine and is lured into a sinister plan to rule the galaxy."
December 7th,"""Docudrama"" about the bombing of Pearl Harbor on December 7th, 1941 and its results, the recovering of the ships, the improving of defense in Hawaii and the US efforts to beat back the Japanese reinforcements.  This film exists in two versions. This longer, unreleased cut (which is rarely screened) brackets this material fictional sequences. The introductory sequence shows Uncle Sam on vacation in Hawaii on December 6th. A character embodying the Voice of Responsibility warns him that ignoring Japanese immigrant Fifth Column activity will lead to disaster. The concluding sequence the ghost of a serviceman killed in the attack discussing how the US will beat the Japanese with the ghost of a Revolutionary War soldier in Arlington National Cemetery.",History War Action,pearl harbor ,"""Docudrama"" about the bombing of Pearl Harbor on December 7th, 1941 and its results, the recovering of the ships, the improving of defense in Hawaii and the US efforts to beat back the Japanese reinforcements."
Airborne,"Mitchell Goosen is sixteen/seventeen year old kid from California who loves to surf and roller blade. Yet, his parents, who are two zoologists were given a grant to work in Australia. The only problem was: Mitchell couldn't go with them. So, he gets sent to stay with his aunt, uncle, and cousin in Cincinnati, Ohio. When he arrives, he meets his cousin who is also his new roommate for the next six months: Wiley. Mitchell then goes to school and gets on the bad side the high school hockey players. Mitchell and Wiley end up enduring weeks of torture from the guys. Then, the big guys and Mitchell and Wiley have to learn to get along to try to beat the Central High School rivals in a competition down Devil's Backbone",Action Adventure Comedy,sports rollerblade ,"Mitchell Goosen is a California teenager who loves to surf and rollerblade. When his zoologist parents are given a grant to work in Australia, they can't take Mitchell so they send him to Cincinnati, Ohio to stay with his aunt, uncle, and cousin Wiley--who will be his roommate fo... Read all"
Dominion: Prequel to the Exorcist,"Having lived through traumatizing events during WWII, Father Lankester Merrin takes a sabbatical from the Church to conduct archaeological excavations in British-administered East Africa. Merrin unearths an ancient Byzantine church believed have been built and then immediately buried to keep down evil from the crypt below. The natives are convinced that uncovering the church has unleashed a demon, and begin to violently clash with the British military troops. As the village rapidly disintegrates into chaos and war, a disabled and terribly injured local boy befriends Merrin and his condition begins to radically and implausibly improve. Is it a miracle from God, or something more sinister?",Horror Thriller,africa exorcism nazi faith prequel remake priest satan church archaeologist crisis of faith archaeological dig ,"Years before Father Lankester Merrin helped save Regan MacNeil's soul, he first encounters the demon Pazuzu in East Africa. Merrin's initial battle with Pazuzu leads to the rediscovery of his faith."
Heights,"'Heights' follows five characters over 24 hours on a fall day in New York City. Isabel, a photographer, is having second thoughts about her upcoming marriage to Jonathan, a lawyer. On the same day, Isabel's mother Diana learns that her husband has a new lover and begins to re-think her life choices and her open marriage. Diana and Isabel's paths cross with Alec, a young actor, and with Peter, a journalist. As the interrelated stories proceed, the connections between the lives of the five characters begin to reveal themselves and their stories unravel. Isabel, Jonathan, Diana, Alec, and Peter must choose what kind of lives they will lead before the sun comes up on the next day.",Drama Romance,new york city relationship ,"Spanning twenty-four hours, Heights follows five New Yorkers challenged to choose their destiny before the sun comes up the next day."
Saint Ralph,"This Canadian made comedy/drama, set in Hamilton, Ontario in 1954, is a sweet and - at times - goofy story that becomes increasingly poignant as the minutes tick by.
 It's the fictional tale of a wayward 9th grader, Ralph (Adam Butcher), who is secretly living on his own while his widowed, hospitalized mother remains immersed in a coma. Frequently in trouble with Father Fitzpatrick (Gordon Pinsent), the principal of his all-boys, Catholic school, Ralph is considered something of a joke among peers until he decides to pull off a miracle that could save his mother, i.e., winning the Boston Marathon.  Coached by a younger priest and former runner, Father Hibbert (Campbell Scott), whose cynicism has been lifted by the boy's pure hope, Ralph applies himself to his unlikely mission, fending off naysayers and getting help along a very challenging path from sundry allies and friends.",Comedy Drama,"coma miracle sports based on a true story ontario, canada teenage boy catholic school boys' school children home alone cross country running 1950s boston marathon teenage protagonist ","Saint Ralph is the unlikely story of Ralph Walker, a ninth grader who outran everyone's expectations except his own in his bold quest of trying to win the 1954 Boston Marathon."
Black Belt Jones,"Jones is a secret agent who has gone into semi-retirement, concentrating instead on teaching the martial arts to inner city youths. The karate school is run by a kindly old coot named Pops ,played by Scatman Crothers. His gambling debts, however, bring the local thug, Pinky, down on him. To make matters worse, Pinky is then hired by some white thugs who want to get a hold of the property Pops' school occupies so they can build a shopping mall. When things get heavy, Black Belt Jones leaps into action. Only he's not alone. Pops' daughter, Sidney, shows up to lend a hand, proving herself every bit as agile and powerful a martial artist as Jones.",Action Comedy,martial arts blaxploitation black belt ,"A Mafia buy out of Papa Byrd's karate school downtown ends in his death. Byrd's daughter, Sydney, refuses to sell, and wants revenge. Byrd's students call the Black Belt Jones for help. Jones reluctantly teams with Sydney in many battles."
Hardware,"It was the movie that stunned audiences, shocked the MPAA and marked the debut of one of the most uncompromising filmmakers in modern horror. Golden Globe winner Dylan McDermott (The Practice) stars as a post-apocalyptic scavenger who brings home a battered cyborg skull for his metal-sculptor girlfriend. But this steel scrap contains the brain of the M.A.R.K. 13, the military's most ferocious bio-mechanical combat droid. It is cunning, cruel and can reassemble itself. Tonight, it is reborn....and no flesh shall be spared. Stacey Travis (Ghost World) co-stars - along with appearances by Iggy Pop, Lemmy of Motörhead and music by Ministry and Public Image Ltd.",Horror Science-Fiction Thriller,disc jockey cyborg killer robot artist nuclear radiation post-apocalyptic future dystopia sculpture based on comic murder robot as menace cyberpunk desert surveillance cult film security system voyeur drought polluted air population control home security junk art synthetic drug computer technology overpopulated world scavengers industrial pollution ,"The head of a cyborg reactivates, rebuilds itself, and goes on a violent rampage in a space marine's girlfriend's apartment."
Noviembre,"Impelled by a spirit which still preserves a patina of idealism, Alfredo arrives to Madrid with the intention to create ""a performance that is free, straight from the heart, capable of making people feel alive"". His concept of what acting should be begins beyond the stage, out in the streets face to face with the public. Outdoors, in any town square, in a park or in the city's most commercial street, Alfredo and his troupe November start the show; demons to provoke passers-by, displays of social conscience, actions taken to the extreme to put the forces of law and order on full alert. There are no limits, no censorship; only ideas which are always valid so long as the public ceases to be the public and becomes part of the show swept by surprise, fear, tears or laughter. Theater as life, life as theater… there is no longer any difference.",Drama Comedy Thriller,"madrid, spain theatre group squatter anarchist street artist street theater ","Impelled by a spirit which still preserves a patina of idealism, Alfredo arrives in Madrid intent on creating ""a performance which is freer, straight from the heart, capable of making people feel alive"". His concept of what theater should be begins beyond the stage, out in the st... Read all"
Berserk,"Monica Rivers, is the owner and ringmaster of a traveling circus and who'll stop at nothing to draw bigger audiences. When a series of mysterious murders begins to occur and some of her performers die gruesomely, her profits soar. She hires high-wire walker Frank Hawkins, impressed by the handsome and muscular young man. They begin an affair which arouses her previous lover Durando's jealousy. When Durando is found dead shortly afterward, the other performers begin to take alarm, as a mysterious killer is obviously loose in their midst. Many suspect Monica herself of the killings, especially Matilda, who has set her sights on Monica's new lover. At this point, Monica's unruly, sixteen-year-old daughter Angela, is expelled from school for being incorrigible and Monica is forced to take her into the circus, allowing her to become the partner of knife-thrower Gustavo. Meanwhile, the dead bodies continue to pile up...",Horror Mystery Thriller,circus murder high wire proto-slasher hagsploitation ,A scheming circus owner finds her authority challenged when the show is targeted by a vicious killer.
The Three Stooges Meet Hercules,"The Three Stooges manage to crash through the time barrier with their slap-happy antics in this classic feature-length comedy. Larry, Moe, and Curly-Joe are friends of a young scientist, Schuyler Davis, who has created a time machine. Together with Schuyler's girlfriend, Diane, they are all transported back to ancient Ithaca which is ruled by the tyrannical King Odius. The lecherous king promptly takes a liking to Diane and banishes Schuyler and The Stooges to the galleys. When they manage to escape, they begin promoting Schuyler as ""Hercules"" at local gladiatorial combats - until the real Hercules shows up. But, with their unique ""charm,"" The Stooges convince Hercules to help them rescue Diane. Written by Robert Lynch",Action Comedy Science-Fiction,gladiator time machine three stooges ancient greece chariot hercules ,Three goofy druggists travel back to Ancient Greece on a milquetoast inventor's time machine.
Red Eye,"After attending the funeral of her grandmother in Dallas, the Lux Atlantic Hotel manager Lisa is waiting for a flight to Miami. Due to the bad weather and consequent flight delay, she meets in the airport bar Jack Rippner, who is also in the waiting list. They sit together in the plane, and Jack reveals that he wants Lisa to change the room in Lux of an important American politician to facilitate a terrorist attempt against him. Otherwise, Lisa's father will be killed by a hit man. Lisa has to decide what to do with the menacing man at her side.",Horror Thriller,hotel airport hostage menace hitman villain airplane flight terrorism fear threat hotel manager ,"A woman is kidnapped by a stranger on a routine flight. Threatened by the potential murder of her father, she is pulled into a plot to assist her captor in a political assassination."
The Thing About My Folks,"Ben's dad Sam shows up one night with a note from Ben's mother (Sam's wife of 46 years), that she has left. While Ben's wife and his three sisters try to find her, Ben takes Sam on a day trip to see a farmhouse that's for sale. The day trip turns into a road trip while dad and son explore their past, their relationship, and why Sam's wife might have left him. The road trip includes fishing, drinking, playing pool, sleeping under the stars, and frank discussion. Anger simmers close at hand, as do love and hope. Where Sam's wife is - and why she left - leads to the movie's resolution.",Family Comedy Drama,,"Ben's dad, Sam, shows up one night with a note that Ben's mother has left. While Ben's wife and his three sisters try to find her, Ben takes Sam on a day trip to see a farmhouse that is for sale."
Now and Forever,"Young freewheeling wanderer Jerry Day and his beautiful wife Toni are at odds over their lifestyle. Jerry can't accept responsibility but Toni yearns for a family and a settled life. Then the Days 'rediscover' Jerry's young daughter Pennie, who has been living with his rich deceased wife's family. Pennie appears to be just what Jerry needs to mend his swindling ways and lead a straight life. Despite the responsibility of his new family, Jerry is swayed by the corruptible influence of jewelry thief Felix Evans. When Evans lures Jerry into a job, it puts the continuation of his new family life at risk.",Drama Romance,daughter pre-code wanderer ,"A swindler and his girlfriend take in his young daughter, who has been living with the family of his deceased wife."
Family Guy Presents Stewie Griffin: The Untold Story,"The major sub-plot circles around the youngest Griffin, Stewie, who has a near-death experience at a pool when a lifeguard chair falls on him, but he survives. After having a vision of being in Hell, he decides to change his ways, but this doesn't last long. While watching television, he and Brian spot a man that looks like Stewie. Brian is convinced that he is Stewie's real father, until Stewie learns that the man is actually himself as an adult, taking a vacation from his own time period. Baby Stewie visits thirty years later to discover that his adult self, going by the name Stu, is a single blue-collar middle-aged virgin working at a Circuit City-type store. Meanwhile, Peter and Lois are trying to teach their two older kids, Meg and Chris, to date. In the future, Chris, who hasn't changed much, is working as a cop and is married to a foul-mouthed hustler named Vanessa. Meg is now called Ron, since she had a sex-change after college. Written by pepperann210",Comedy Animation,,"The maniacal baby of the Griffin family, Stewie, meets his future self. In doing this he discovers that his future image is not what he has anticipated because of a near death experience."
Go West,"Embezzler, shill, all around confidence man S. Quentin Quale is heading west to find his fortune; he meets the crafty but simple brothers Joseph and Rusty Panello in a train station, where they steal all his money. They're heading west, too, because they've heard you can just pick the gold off the ground. Once there, they befriend an old miner named Dan Wilson whose property, Dead Man's Gulch, has no gold. They loan him their last ten dollars so he can go start life anew, and for collateral, he gives them the deed to the Gulch. Unbeknownst to Wilson, the son of his longtime rival, Terry Turner (who's also in love with his daughter, Eva), has contacted the railroad to arrange for them to build through the land, making the old man rich and hopefully resolving the feud. But the evil Red Baxter, owner of a saloon, tricks the boys out of the deed, and it's up to them - as well as Quale, who naturally finds his way out west anyway - to save the day.",Comedy Western,musical cowboy marx brothers ,"The Marx Brothers come to the rescue in the Wild West when a young man, trying to settle an old family feud so he can marry the girl he loves, runs afoul of crooks."
Will Penny,"Will Penny, an aging cowpoke, takes a job on a ranch which requires him to ride the line of the property looking for trespassers or, worse, squatters. He finds that his cabin in the high mountains has been appropriated by a woman whose guide to Oregon has deserted her and her son. Too ashamed to kick mother and child out just as the bitter winter of the mountains sets in, he agrees to share the cabin until the spring thaw. But it isn't just the snow that slowly thaws; the lonely man and woman soon forget their mutual hostility and start developing a deep love for one another.",Romance Western,bath horse cabin stetson beef shootout bullet wound cowboy cattle ranch ,Aging cowboy Will Penny gets a line camp job on a large cattle spread and finds his isolated cabin is already occupied by a husbandless woman and her young son.
Kwik Stop,"Two strangers discover you really can find anything at a convenience store -- even love. An aspiring actor stuck in a small town who has big plans of moving to Hollywood so he can strike it rich. One night, while on his way into a corner store, he meets Didi, a pretty but aimless girl hanging out in the parking lot. Mike and Didi strike up a conversation, and she discovers there's a big dose of self-doubt lurking beneath his confident exterior. Mike, on the other hand, finds that the longer he talks to Didi, the more he finds himself thinking she might be a good reason to stick around.",Drama,,"The tale of a Hollywood-bound actor called Lucky whose shoplifting is discovered by a local girl in a small, Midwestern town."
American Yakuza,"When Nick Davis leaves prison after one year in solitaire, he is hired to operate forklift in a warehouse in the harbor owned by the Japanese Yakuza patriarch Isshin Tendo. The place is assaulted by the Italian Mafia leaded by Dino Campanela and Nick rescues and saves the life of Shuji Sawamoto, who is the representative of Yakuza interests in America. Shuji hires Nick to work for Yakuza and becomes his godfather in the family after his oath to join Yakuza. However, Nick is a lonely FBI undercover agent assigned to penetrate in the criminal organization. When the FBI discovers that Campanela is organizing a massive attack to destroy the Yakuza, Nick's boss Littman calls off the operation to leave the dirty work to the Italian Mafia. But the connection of Nick with Shuji and his goddaughter Yuko forces him to help his Japanese family.",Action Drama Crime,martial arts yakuza undercover agent organized crime mafia action hero ,An American FBI agent is lured away by the Japanese Mafia--the Yakuza--in this action film.
